team,score
Those Girls,54
Team RaMarkable,44
Educated Guessers,43
Smarty Pints,42
Brady Bunch,41
Trivia Monsters,39
Who's Crying Now?,38
The Wambsgans,37
Weapons of Mass Intoxication,37
Dumb and Dumber,36
Taking a Whiz in the Quiz Pool,36
Double D8,36
Losers and Boozers,34
Quiz in my Pants,34
