team,score
Palest Ales,55
Team RaMarkable,54
Those Girls,52
Brady Bunch,52
Smarty Pints,50.5
Educated Guessers,50
Jane St. Brewing,48
Taking A Whiz In The Quiz Pool,46
Losers and Boozers,45
The Bike Club,43
Many Beers Of Experience,37
