team,score
Smarty Pints,59
Brady Bunch,58
"Blood, Sweat, and Beers",57
Those Girls,56
Taking a Whiz in the Quiz Pool,56
Loosers & Boozers,54
Team RaMarkable,53
Educated Guessers,52
Who's Crying Now,52
Quiz in my Pants,49
Team Canada 6942,47
Les Quizzerables,46
Jane St. Brewing,46
