team,score
Those Girls,60
Jane St. Brewing,42
Brady Bunch,49
Team RaMarkable ,49
Educated Guessers,41
You're A Quizard Harry,43
Losers & Boozers,40
The Peanut Butter Privateers,39
Les Quizerables,35
The Bike Club,25
Jamsquad,8
Smarty-Pints,51
Who's Crying Now,54
