team,score
Team RaMarkable,67
Those Girls,62.5
Brady Bunch,59.5
Losers and Boozers,59
Smarty Pints,58.5
Jane St. Brewing,58.5
Educated Guessers,57.5
Palest Ales,56
Quiz In My Pants,54
I Got Nothing,53.5
Canaussies,53
Taking A Whiz In The Quiz Pool,53
You're A Quizzard Harry,47
Walk In The Park,36.5
Ali Cat,27
