,team,score,base_score,bonus_score,adjusted_score
0,Those Girls,54,35,13,48
1,Team RaMarkable,44,34,12,46
2,Educated Guessers,43,33,11,44
3,Smarty Pints,42,32,10,42
4,Brady Bunch,41,31,9,40
5,Trivia Monsters,39,30,8,38
6,Who's Crying Now?,38,29,7,36
7,The Wambsgans,37,28,5,33
8,Weapons of Mass Intoxication,37,28,5,33
9,Dumb and Dumber,36,27,2,29
10,Taking A Whiz In The Quiz Pool,36,27,2,29
11,Double D8,36,27,2,29
12,Losers and Boozers,34,26,0,26
13,Quiz In My Pants,34,26,0,26
