,team,score,base_score,bonus_score,adjusted_score
0,Those Girls,60,35,12,47
12,Who's Crying Now,54,34,11,45
11,Smarty Pints,51,33,10,43
2,Brady Bunch,49,32,8,40
3,Team RaMarkable,49,32,8,40
5,You're A Quizard Harry,43,31,7,38
1,Jane St. Brewing,42,30,6,36
4,Educated Guessers,41,29,5,34
6,Losers and Boozers,40,28,4,32
7,The Peanut Butter Privateers,39,27,3,30
8,Les Quizerables,35,26,2,28
9,The Bike Club,25,25,1,26
10,Jamsquad,8,24,0,24
