,team,score,base_score,bonus_score,adjusted_score
0,Those Girls,55.5,35,8,43
1,Brady Bunch,54.5,34,7,41
2,Educated Guessers,52.0,33,6,39
3,Smarty Pints,48.5,32,4,36
4,Taking A Whiz In The Quiz Pool,48.5,32,4,36
5,Mirkwood,43.0,31,3,34
6,Losers and Boozers,41.5,30,2,32
7,The Bike Club,39.5,29,1,30
8,Jane St. Brewing,38.5,28,0,28
