,team,score,base_score,bonus_score,adjusted_score
0,Palest Ales,55.0,35,10,45
1,Team RaMarkable,54.0,34,9,43
2,Those Girls,52.0,33,7,40
3,Brady Bunch,52.0,33,7,40
4,Smarty Pints,50.5,32,6,38
5,Educated Guessers,50.0,31,5,36
6,Jane St. Brewing,48.0,30,4,34
7,Taking A Whiz In The Quiz Pool,46.0,29,3,32
8,Losers and Boozers,45.0,28,2,30
9,The Bike Club,43.0,27,1,28
10,Many Beers Of Experience,37.0,26,0,26
