,team,score,base_score,bonus_score,adjusted_score
0,Smarty Pints,59,35,12,47
1,Brady Bunch,58,34,11,45
2,"Blood Sweat, and Beers",57,33,10,43
3,Those Girls,56,32,8,40
4,Taking A Whiz In The Quiz Pool,56,32,8,40
5,Losers and Boozers,54,31,7,38
6,Team RaMarkable,53,30,6,36
7,Educated Guessers,52,29,4,33
8,Who's Crying Now,52,29,4,33
9,Quiz In My Pants,49,28,3,31
10,Team Canada 6942,47,27,2,29
11,Les Quizerables,46,26,0,26
12,Jane St. Brewing,46,26,0,26
